Ano;Escola;RA;Ofício Sisconep;Mês de indicação;GND;Valor Indicado;Valor empenhado;Valor pago;COL10;Destinação;CRE;O que foi/será realizado?;Pago em:;Observação;Ordem Bancária;Data de Pagamento;Link Fotos;Escola_Padrao
2023.0;CEF Professora Maria do Rosário Gondim da Silva;Ceilândia;7136.0;Maio;Capital;50000.0;50000.0;50000.0;;;;;;;;;;CEF Professora Maria do Rosário Gondim da Silva
2023.0;Centro de Ensino Especial 01 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;60000.0;60000.0;60000.0;Regional;;;;;;;;;CEE 01 DE CEILANDIA
2023.0;Centro de Ensino Especial 01 de Ceilândia;Ceilândia;7136.0;Maio;Capital;20000.0;20000.0;20000.0;;;;;;;;;;CEE 01 DE CEILANDIA
2023.0;Centro de Ensino Especial 02 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;40000.0;40000.0;40000.0;;;;;;;;;;CEE 02 DE CEILANDIA
2023.0;Centro de Ensino Especial 02 de Ceilândia;Ceilândia;7136.0;Maio;Capital;40000.0;40000.0;40000.0;;;;;;;;;;CEE 02 DE CEILANDIA
2023.0;Centro de Ensino Fundamental 04 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;CEF 04 DE CEILANDIA
2023.0;Centro de Ensino Fundamental 10 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;80000.0;80000.0;80000.0;Regional;;;;;;;;;CEF 10 DE CEILANDIA
2023.0;Centro de Ensino Fundamental 27 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;36700.0;36700.0;36700.0;;;;;;;;;;CEF 27 de Ceilândia
2023.0;Centro de Ensino Fundamental 27 de Ceilândia;Ceilândia;7136.0;Maio;Capital;13000.0;13000.0;13000.0;;;;;;;;;;CEF 27 de Ceilândia
2023.0;Centro de Ensino Médio 02 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;70000.0;70000.0;70000.0;Regional;;;;;;;;;CEM 02 de Ceilândia
2023.0;Centro de Ensino Médio 02 de Ceilândia;Ceilândia;7136.0;Maio;Capital;180000.0;180000.0;180000.0;Regional;;;;;;;;;CEM 02 de Ceilândia
2023.0;Centro de Ensino Médio 03 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;180000.0;180000.0;180000.0;Regional;;;;;;;;;CEM 03 DE CEILANDIA
2023.0;Centro de Ensino Médio 03 de Ceilândia;Ceilândia;7136.0;Maio;Capital;79600.0;79600.0;79600.0;Regional;;;;;;;;;CEM 03 DE CEILANDIA
2023.0;Centro de Ensino Médio 04 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;CEM 04 de Ceilândia
2023.0;Centro de Ensino Médio 09 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;35000.0;35000.0;35000.0;;;;;;;;;;CEM 09 de Ceilândia
2023.0;Centro de Ensino Médio 09 de Ceilândia;Ceilândia;7136.0;Maio;Capital;55000.0;55000.0;55000.0;;;;;;;;;;CEM 09 de Ceilândia
2023.0;Centro de Ensino Médio 10 de Ceilândia;Ceilândia;7136.0;Maio;Capital;40000.0;40000.0;40000.0;Regional;;;;;;;;;CEM 10 DE CEILANDIA
2023.0;Centro de Ensino Médio 12 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;130000.0;130000.0;130000.0;Regional;;;;;;;;;CEM 12 de Ceilândia
2023.0;Centro Educacional 06 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;80000.0;80000.0;80000.0;Regional;;;;;;;;;CED 06 DE CEILANDIA
2023.0;Centro Educacional 11 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;80000.0;80000.0;80000.0;Regional;;;;;;;;;CED 11 DE CEILANDIA
2023.0;Centro Educacional 11 de Ceilândia;Ceilândia;7136.0;Maio;Capital;25000.0;25000.0;25000.0;;;;;;;;;;CED 11 DE CEILANDIA
2023.0;Centro Educacional 15 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;15000.0;15000.0;15000.0;;;;;;;;;;CED 15 DE CEILANDIA
2023.0;Centro Educacional 15 de Ceilândia;Ceilândia;7136.0;Maio;Capital;69000.0;69000.0;69000.0;;;;;;;;;;CED 15 DE CEILANDIA
2023.0;Centro Educacional 16 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;40000.0;40000.0;40000.0;;;;;;;;;;CED 16 DE CEILANDIA
2023.0;Centro Educacional 16 de Ceilândia;Ceilândia;7136.0;Maio;Capital;30000.0;30000.0;30000.0;;;;;;;;;;CED 16 DE CEILANDIA
2023.0;Centro Educacional Incra 09 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;30000.0;30000.0;30000.0;;;;;;;;;;CED INCRA 09
2023.0;CRE Ceilândia (Escola Parque Anísio Teixeira);Ceilândia;7135.0;Maio;Custeio;100000.0;100000.0;100000.0;Regional;;;;;;;;;EP ANISIO TEIXEIRA
2023.0;Escola Classe 01 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC 01 de Ceilândia
2023.0;Escola Classe 03 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;45000.0;45000.0;45000.0;;;;;;;;;;EC 03 DE CEILANDIA
2023.0;Escola Classe 10 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC 10 de Ceilândia
2023.0;Escola Classe 15 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;51000.0;51000.0;51000.0;;;;;;;;;;EC 15 de Ceilândia
2023.0;Escola Classe 20 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;80000.0;80000.0;80000.0;Regional;;;;;;;;;EC 20 DE CEILANDIA
2023.0;Escola Classe 26 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;85000.0;85000.0;85000.0;Regional;;;;;;;;;EC 26 DE CEILANDIA
2023.0;Escola Classe 34 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;120000.0;120000.0;120000.0;Regional;;;;;;;;;EC 34 DE CEILANDIA
2023.0;Escola Classe 50 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;51000.0;51000.0;51000.0;;;;;;;;;;EC 50 de Ceilândia
2023.0;Escola Classe 55 de Ceilândia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC 55 DE CEILANDIA
2023.0;Escola Classe 68;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC 68 DE CEILANDIA
2023.0;Escola Classe Jiboia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC JIBOIA
2023.0;Escola Classe Lajes da Jiboia;Ceilândia;7135.0;Maio;Custeio;50000.0;50000.0;50000.0;;;;;;;;;;EC LAJES DA JIBOIA
2023.0;"Centro de Ensino Fundamental 10 do Gama
";Gama;7730.0;Agosto;Capital;35000.0;35000.0;35000.0;;;;;;;;;;CEF 10 do Gama
2023.0;"Centro de Ensino Fundamental 10 do Gama
";Gama;7728.0;Agosto;Custeio;35000.0;35000.0;35000.0;;;;;;;;;;CEF 10 do Gama
2023.0;Centro de Ensino Fundamental 11 do Gama;Gama;7728.0;Agosto;Custeio;115000.0;115000.0;115000.0;Regional;;;;;;;;;CEF 11 DO GAMA
